区中文,drive_Aij,walk_Aij,near_Aij,plus_Aij
宝安区,2116.788403,917.6040974,6133.271068,9167.663569
大鹏新区,361.2863038,227.9383412,310.3111914,899.5358364
福田区,1402.624445,919.6701303,1849.782072,4172.076647
光明区,243.6186107,122.1552099,226.9714288,592.7452494
龙岗区,1140.735601,858.5260399,4217.730536,6216.992177
龙华区,903.4712647,277.7457793,699.6508003,1880.867844
罗湖区,756.290165,431.3869891,7382.142426,8569.819581
南山区,2729.398923,800.9793001,1347.934991,4878.313213
坪山区,938.9931687,196.1938555,2623.390922,3758.577946
盐田区,280.5646354,63.41479144,301.1171615,645.0965884
(空白),123.74703,103.3506858,112.5042299,339.6019457
总计,10997.51855,4918.96522,25204.80683,41121.2906
